,Timestamp Line,YouTube Link
303035,**No transcript found 😶**,https://www.youtube.com/watch?v=MTD6kMtLZWc
303804,**No transcript found 😶**,https://www.youtube.com/watch?v=T4W_KPavjCw
304653,**No transcript found 😶**,https://www.youtube.com/watch?v=TgMIIXsxrs4
304656,**No transcript found 😶**,https://www.youtube.com/watch?v=AvPeduyABww
305692,**No transcript found 😶**,https://www.youtube.com/watch?v=W9vogs_MyO8
306188,**No transcript found 😶**,https://www.youtube.com/watch?v=8dKnzbaoL68
307362,**No transcript found 😶**,https://www.youtube.com/watch?v=uI-im4GilXA
307790,**No transcript found 😶**,https://www.youtube.com/watch?v=oELEv8jxgQ0
308160,**No transcript found 😶**,https://www.youtube.com/watch?v=n-gmdVnUEfc
308163,**No transcript found 😶**,https://www.youtube.com/watch?v=wSACkA4CHwo
308166,**No transcript found 😶**,https://www.youtube.com/watch?v=Vnw3IZhmPmA&t=18s
310799,**No transcript found 😶**,https://www.youtube.com/watch?v=zaRoWLcdBPU
311574,**No transcript found 😶**,https://www.youtube.com/watch?v=8QdVs9_QpPI
335504,**No transcript found 😶**,https://www.youtube.com/watch?v=RuGUdgHtLeY&t=8s
337995,**No transcript found 😶**,https://www.youtube.com/watch?v=OAEHrb68wZ8&t=8s
