Event,Timestamp
Link captured,2025-06-10 11:14:02
Link captured,2025-06-10 16:48:20
Data appended to CSV,2025-06-10 16:48:32
Link captured,2025-06-10 16:48:38
Link captured,2025-06-10 16:48:45
Data appended to CSV,2025-06-10 16:48:48
Link captured,2025-06-10 16:48:53
Data appended to CSV,2025-06-10 16:48:57
Link captured,2025-06-10 16:49:01
Data appended to CSV,2025-06-10 16:49:04
Link captured,2025-06-10 16:49:07
Link captured,2025-06-10 16:49:14
Data appended to CSV,2025-06-10 16:49:18
Link captured,2025-06-10 16:49:22
Data appended to CSV,2025-06-10 16:49:25
Link captured,2025-06-10 16:49:35
Data appended to CSV,2025-06-10 16:49:39
Link captured,2025-06-10 17:11:46
Link captured,2025-06-10 17:11:52
Data appended to CSV,2025-06-10 17:11:56
Link captured,2025-06-10 17:12:01
Data appended to CSV,2025-06-10 17:12:05
Link captured,2025-06-10 17:12:10
Data appended to CSV,2025-06-10 17:12:13
Link captured,2025-06-10 17:12:16
Data appended to CSV,2025-06-10 17:12:19
Link captured,2025-06-10 18:03:34
Data appended to CSV,2025-06-10 18:03:37
Link captured,2025-06-10 18:03:40
Data appended to CSV,2025-06-10 18:03:44
Link captured,2025-06-10 18:03:47
Data appended to CSV,2025-06-10 18:03:50
Link captured,2025-06-10 18:03:53
Data appended to CSV,2025-06-10 18:03:56
Link captured,2025-06-10 18:04:00
Data appended to CSV,2025-06-10 18:04:03
Link captured,2025-06-10 18:04:07
Data appended to CSV,2025-06-10 18:04:10
Link captured,2025-06-10 18:04:14
Data appended to CSV,2025-06-10 18:04:17
Link captured,2025-06-10 18:04:21
Data appended to CSV,2025-06-10 18:04:24
Link captured,2025-06-10 18:04:27
Data appended to CSV,2025-06-10 18:04:31
Link captured,2025-06-10 18:04:34
Data appended to CSV,2025-06-10 18:04:38
Link captured,2025-06-10 21:20:53
Data appended to CSV,2025-06-10 21:20:57
Link captured,2025-06-10 21:21:02
Data appended to CSV,2025-06-10 21:21:05
Link captured,2025-06-10 21:21:08
Data appended to CSV,2025-06-10 21:21:12
Link captured,2025-06-10 21:21:15
Data appended to CSV,2025-06-10 21:21:18
Link captured,2025-06-10 21:21:21
Data appended to CSV,2025-06-10 21:21:29
Link captured,2025-06-10 21:21:32
Data appended to CSV,2025-06-10 21:21:36
Link captured,2025-06-10 21:21:38
Data appended to CSV,2025-06-10 21:21:49
Link captured,2025-06-10 21:21:53
Data appended to CSV,2025-06-10 21:21:56
Link captured,2025-06-10 21:21:59
Link captured,2025-06-10 21:22:06
Data appended to CSV,2025-06-10 21:22:17
Link captured,2025-06-10 21:22:20
Data appended to CSV,2025-06-10 21:22:24
Link captured,2025-06-10 21:36:42
Link captured,2025-06-10 21:36:50
Link captured,2025-06-10 21:36:58
Link captured,2025-06-10 21:37:05
Link captured,2025-06-10 21:37:13
Link captured,2025-06-10 21:37:21
Link captured,2025-06-10 21:37:29
Link captured,2025-06-10 21:37:36
Link captured,2025-06-10 21:37:44
Link captured,2025-06-10 21:37:52
Link captured,2025-06-10 21:59:18
Data appended to CSV,2025-06-10 21:59:22
Link captured,2025-06-10 21:59:27
Data appended to CSV,2025-06-10 21:59:30
Link captured,2025-06-10 21:59:35
Data appended to CSV,2025-06-10 21:59:39
Link captured,2025-06-10 21:59:44
Data appended to CSV,2025-06-10 21:59:47
Link captured,2025-06-10 21:59:52
Data appended to CSV,2025-06-10 21:59:56
Link captured,2025-06-10 22:00:09
Data appended to CSV,2025-06-10 22:00:12
Link captured,2025-06-10 22:00:18
Data appended to CSV,2025-06-10 22:00:21
Link captured,2025-06-10 22:00:28
Data appended to CSV,2025-06-10 22:00:32
Link captured,2025-06-10 22:00:37
Data appended to CSV,2025-06-10 22:00:41
Link captured,2025-06-10 22:00:45
Data appended to CSV,2025-06-10 22:00:49
Link captured,2025-06-10 22:04:40
Data appended to CSV,2025-06-10 22:04:44
Link captured,2025-06-10 22:04:49
Data appended to CSV,2025-06-10 22:04:52
Link captured,2025-06-10 22:04:56
Data appended to CSV,2025-06-10 22:05:00
Link captured,2025-06-10 22:05:05
Data appended to CSV,2025-06-10 22:05:08
Link captured,2025-06-10 22:05:13
Data appended to CSV,2025-06-10 22:05:16
Link captured,2025-06-10 22:05:21
Data appended to CSV,2025-06-10 22:05:24
Link captured,2025-06-10 22:05:28
Data appended to CSV,2025-06-10 22:05:32
Link captured,2025-06-10 22:05:36
Data appended to CSV,2025-06-10 22:05:40
Link captured,2025-06-10 22:05:44
Data appended to CSV,2025-06-10 22:05:48
Link captured,2025-06-10 22:05:52
Data appended to CSV,2025-06-10 22:05:55
Link captured,2025-06-10 22:09:40
Data appended to CSV,2025-06-10 22:09:44
Link captured,2025-06-10 22:09:48
Data appended to CSV,2025-06-10 22:09:52
Link captured,2025-06-10 22:09:56
Data appended to CSV,2025-06-10 22:10:00
Link captured,2025-06-10 22:10:04
Data appended to CSV,2025-06-10 22:10:08
Link captured,2025-06-10 22:10:12
Data appended to CSV,2025-06-10 22:10:16
Link captured,2025-06-10 22:10:20
Data appended to CSV,2025-06-10 22:10:24
Link captured,2025-06-10 22:10:28
Data appended to CSV,2025-06-10 22:10:31
Link captured,2025-06-10 22:10:36
Data appended to CSV,2025-06-10 22:10:39
Link captured,2025-06-10 22:10:44
Data appended to CSV,2025-06-10 22:10:47
Link captured,2025-06-10 22:10:52
Data appended to CSV,2025-06-10 22:10:55
Link captured,2025-06-10 22:14:29
Data appended to CSV,2025-06-10 22:14:32
Link captured,2025-06-10 22:14:37
Data appended to CSV,2025-06-10 22:14:41
Link captured,2025-06-10 22:14:45
Data appended to CSV,2025-06-10 22:14:49
Link captured,2025-06-10 22:14:53
Data appended to CSV,2025-06-10 22:14:57
Link captured,2025-06-10 22:15:01
Data appended to CSV,2025-06-10 22:15:05
Link captured,2025-06-10 22:15:09
Data appended to CSV,2025-06-10 22:15:13
Link captured,2025-06-10 22:15:17
Data appended to CSV,2025-06-10 22:15:20
Link captured,2025-06-10 22:15:25
Data appended to CSV,2025-06-10 22:15:28
Link captured,2025-06-10 22:15:33
Data appended to CSV,2025-06-10 22:15:36
Link captured,2025-06-10 22:15:41
Link captured,2025-06-10 22:22:43
Data appended to CSV,2025-06-10 22:22:46
Link captured,2025-06-10 22:22:51
Data appended to CSV,2025-06-10 22:22:55
Link captured,2025-06-10 22:22:59
Data appended to CSV,2025-06-10 22:23:03
Link captured,2025-06-10 22:23:07
Data appended to CSV,2025-06-10 22:23:11
Link captured,2025-06-10 22:23:15
Data appended to CSV,2025-06-10 22:23:19
Link captured,2025-06-10 22:23:23
Data appended to CSV,2025-06-10 22:23:27
Link captured,2025-06-10 22:23:31
Data appended to CSV,2025-06-10 22:23:35
